ARTS2411-03 |Ceramics 1 ||Bowen, Robert Michael |0/15|Closed|TR 11:00AM - 12:15 PM; MAIN Campus, Center for the Arts , Ceramics Studio |3|08/20/12|12/07/12
ARTS2411-04 |Ceramics 1 ||Meadows, William M |05/15/12|Open|MW 10:00 - 11:15 AM; MAIN Campus, Center for the Arts , Ceramics Studio |3|08/20/12|12/07/12
ARTS2411-05 |Ceramics 1 ||Meadows, William M |09/15/12|Open|MW 12:00 - 1:15 PM; MAIN Campus, Center for the Arts , Ceramics Studio |3|08/20/12|12/07/12
ARTS2412-01 |Ceramics 2 ||Meadows, William M |0/3|Closed|MW 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Ceramics Studio |3|08/20/12|12/07/12
ARTS2511-01 |Photography 1 ||Daniel, Jennifer L |12/15/12|Open|MW 10:00 - 11:15 AM; MAIN Campus, Center for the Arts , Photography Suite |3|08/20/12|12/07/12
ARTS2511-02 |Photography 1 ||Daniel, Jennifer L |08/15/12|Open|MW 12:00 - 1:15 PM; MAIN Campus, Center for the Arts , Photography Suite |3|08/20/12|12/07/12
ARTS2511-03 |Photography 1 ||Daniel, Jennifer L |04/15/12|Open|MW 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Photography Suite |3|08/20/12|12/07/12
ARTS2531-01 |Documentary Photography 1 ||Klutenkamper, Allyson |06/16/12|Open|MW 10:00 - 11:15 AM; MAIN Campus, Center for the Arts , Visual Arts Computer Lab|3|08/20/12|12/07/12
ARTS2613-51 |Typography ||Bennett, Aaron S |0/16|Closed|TR 12:30 - 1:45 PM; MAIN Campus, Center for the Arts , Intaglio Studio |3|08/20/12|12/07/12
ARTS2711-01 |Illustration 1 ||Reynolds, Todd |02/10/12|Open|MW 12:00 - 1:15 PM; MAIN Campus, Center for the Arts , Screen Painting Studio |3|08/20/12|12/07/12
ARTS2712-01 |Illustration 2 ||Reynolds, Todd |08/10/12|Open|MW 12:00 - 1:15 PM; MAIN Campus, Center for the Arts , Screen Painting Studio |3|08/20/12|12/07/12
ARTS3211-01 |Intermediate Drawing 1 ||Stettner, Mica L |10/10/12|Open|TR 9:30 - 10:45 AM; MAIN Campus, Center for the Arts , Life Drawing Studio |3|08/20/12|12/07/12
ARTS3212-01 |Intermediate Drawing 2 ||Stettner, Mica L |0/3|Closed|TR 9:30 - 10:45 AM; MAIN Campus, Center for the Arts , Life Drawing Studio |3|08/20/12|12/07/12
ARTS3221-01 |Intermediate Life Drawing 1 ||Reynolds, Todd |0/2|Closed|MW 3:30 - 4:45 PM; MAIN Campus, Center for the Arts , Life Drawing Studio |3|08/20/12|12/07/12
ARTS3222-01 |Intermediate Life Drawing 2 ||Reynolds, Todd |01/02/12|Open|MW 3:30 - 4:45 PM; MAIN Campus, Center for the Arts , Life Drawing Studio |3|08/20/12|12/07/12
ARTS3311-01 |Intermediate Painting 1 ||Reynolds, Todd |03/04/12|Open|MW 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Painting Suite |3|08/20/12|12/07/12
ARTS3312-01 |Intermediate Painting 2 ||Reynolds, Todd |02/02/12|Open|MW 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Painting Suite |3|08/20/12|12/07/12
ARTS3331-01 |Watercolor 1 ||Raiser, Charles L |14/20|Open|TR 12:30 - 1:45 PM; MAIN Campus, Center for the Arts , Screen Painting Studio |3|08/20/12|12/07/12
ARTS3332-01 |Watercolor 2 ||Raiser, Charles L |19/20|Open|TR 12:30 - 1:45 PM; MAIN Campus, Center for the Arts , Screen Painting Studio |3|08/20/12|12/07/12
ARTS3411-01 |Intermediate Ceramics 1 ||Meadows, William M |18/20|Open|MW 12:00 - 1:15 PM; MAIN Campus, Center for the Arts , Ceramics Studio |3|08/20/12|12/07/12
ARTS3412-01 |Intermediate Ceramics 2 ||Meadows, William M |01/02/12|Open|MW 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Ceramics Studio |3|08/20/12|12/07/12
ARTS3511-01 |Intermediate Photography 1 ||Klutenkamper, Allyson |09/18/12|Open|TR 11:00AM - 12:15 PM; MAIN Campus, Center for the Arts , Photography Suite |3|08/20/12|12/07/12
ARTS3521-01 |Intermediate Photo 1 Studio ||Klutenkamper, Allyson |07/16/12|Open|TR 12:30 - 1:45 PM; MAIN Campus, Center for the Arts , Photography Suite |3|08/20/12|12/07/12
ARTS3611-01 |Digital Imaging 1 ||Davis, Charles |02/16/12|Open|TR 12:30 - 1:45 PM; MAIN Campus, Center for the Arts , Communications Classroom|3|08/20/12|12/07/12
ARTS3611-02 |Digital Imaging 1 ||Bennett, Aaron S |01/16/12|Open|TR 3:30 - 4:45 PM; MAIN Campus, Center for the Arts , Intaglio Studio |3|08/20/12|12/07/12
ARTS3612-01 |Digital Illustration 1 ||Bennett, Aaron S |01/16/12|Open|TR 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Intaglio Studio |3|08/20/12|12/07/12
ARTS3613-01 |Digital Publishing 1 ||Davis, Charles |06/11/12|Open|TR 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Communications Classroom|3|08/20/12|12/07/12
ARTS3621-01 |Digital Paint 1 ||LeCouffe, Bastien |08/16/12|Open|MW 3:30 - 4:45 PM; MAIN Campus, Center for the Arts , Communications Classroom|3|08/20/12|12/07/12
ARTS3622-51 |Digital Video 1 ||Meyer, Brian J |05/10/12|Open|TR 5:00 - 6:15 PM; MAIN Campus, Center for the Arts , Communications Classroom|3|08/20/12|12/07/12
ARTS3631-01 |Visualist Studio 1 ||Davis, Charles |02/16/12|Open|MW 12:00 - 1:15 PM; MAIN Campus, Center for the Arts , Communications Classroom|3|08/20/12|12/07/12
ARTS3632-01 |Visualist Studio 2 ||Davis, Charles |11/16/12|Open|MW 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Communications Classroom|3|08/20/12|12/07/12
ARTS3641-01 |Interactive Foundations ||Cram, Matthew S |-1/10|Closed|TR 11:00AM - 12:15 PM; MAIN Campus, Center for the Arts , Visual Arts Computer Lab|3|08/20/12|12/07/12
ARTS4159-01 |Art Internship ||Lyons, Gregory A |20/20|Open|0:00 - 0:00 AM; MAIN Campus|6|08/20/12|12/07/12
ARTS4180-51 |Senior Studio 1 ||Cram, Matthew S |-2/8|Closed|TR 3:30 - 4:45 PM; MAIN Campus, Center for the Arts , Visual Arts Computer Lab|3|08/20/12|12/07/12
ARTS4181-51 |Senior Studio 2 ||Cram, Matthew S |-1/8|Closed|TR 3:30 - 4:45 PM; MAIN Campus, Center for the Arts , Visual Arts Computer Lab|3|08/20/12|12/07/12
ARTS4211-01 |Advanced Drawing 1 ||Stettner, Mica L |0/3|Closed|TR 9:30 - 10:45 AM; MAIN Campus, Center for the Arts , Life Drawing Studio |3|08/20/12|12/07/12
ARTS4212-01 |Advanced Drawing 2 ||Stettner, Mica L |03/03/12|Open|TR 9:30 - 10:45 AM; MAIN Campus, Center for the Arts , Life Drawing Studio |3|08/20/12|12/07/12
ARTS4221-01 |Advanced Life Drawing 1 ||Reynolds, Todd |02/02/12|Open|MW 3:30 - 4:45 PM; MAIN Campus, Center for the Arts , Life Drawing Studio |3|08/20/12|12/07/12
ARTS4222-01 |Advanced Life Drawing 2 ||Reynolds, Todd |02/02/12|Open|MW 3:30 - 4:45 PM; MAIN Campus, Center for the Arts , Life Drawing Studio |3|08/20/12|12/07/12
ARTS4311-01 |Advanced Painting 1 ||Reynolds, Todd |02/02/12|Open|MW 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Painting Suite |3|08/20/12|12/07/12
ARTS4312-01 |Advanced Painting 2 ||Reynolds, Todd |02/02/12|Open|MW 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Painting Suite |3|08/20/12|12/07/12
ARTS4331-01 |Advanced Watercolor 1 ||Raiser, Charles L |20/20|Open|TR 12:30 - 1:45 PM; MAIN Campus, Center for the Arts , Screen Painting Studio |3|08/20/12|12/07/12
ARTS4332-01 |Advanced Watercolor 2 ||Raiser, Charles L |20/20|Open|TR 12:30 - 1:45 PM; MAIN Campus, Center for the Arts , Screen Painting Studio |3|08/20/12|12/07/12
ARTS4613-01 |Digital Publishing 2 ||Davis, Charles |04/06/12|Open|TR 2:00 - 3:15 PM; MAIN Campus, Center for the Arts , Communications Classroom|3|08/20/12|12/07/12
ARTS4621-01 |Digital Paint 2 ||LeCouffe, Bastien |12/16/12|Open|MW 5:00 - 6:15 PM; MAIN Campus, Center for the Arts , Communications Classroom|3|08/20/12|12/07/12
ARTS4622-51 |Digital Video 2 ||Meyer, Brian J |06/06/12|Open|TR 5:00 - 6:15 PM; MAIN Campus, Center for the Arts , Communications Classroom|3|08/20/12|12/07/12
